HIRAGANA,KANJI,ENGLISH,KANJI MEANINGS,LESSION SECTION,CATAEGORY
ひこうき,飛行機,airplane,Fly - Go - Machine,Genki 1::L10::01 Vocabulary_20,Nouns
よやく,予約,reservation,Beforehand - Promise,Genki 1::L10::01 Vocabulary_21,Nouns
ツアー,,tour,,Genki 1::L10::01 Vocabulary_22,Nouns
どうぶつえん,動物園,zoo,Move - Thing - Garden,Genki 1::L10::01 Vocabulary_23,Nouns
じかん,時間,time,Time - Interval,Genki 1::L10::01 Vocabulary_24,Nouns
せかい,世界,world,World - World,Genki 1::L10::01 Vocabulary_25,Nouns
びよういん,美容院,beauty parlor,Beauty - Form - Institution,Genki 1::L10::01 Vocabulary_26,Nouns
てぶくろ,手袋,gloves,Hand - Sack,Genki 1::L10::01 Vocabulary_27,Nouns
せいかつ,生活,life; living,Life - Lively,Genki 1::L10::01 Vocabulary_28,Nouns
ことし,今年,this year,Now - Year,Genki 1::L10::01 Vocabulary_29,Nouns
あたたかい,暖かい,warm,Warm - かい,Genki 1::L10::01 Vocabulary_30,い-adjectives
すずしい,涼しい,cool (weather - not used for things),Cool - しい,Genki 1::L10::01 Vocabulary_31,い-adjectives
つめたい,冷たい,cold (things/people),Cool - たい,Genki 1::L10::01 Vocabulary_32,い-adjectives
おそい,遅い,slow; late,Slow - い,Genki 1::L10::01 Vocabulary_33,い-adjectives
ねむい,眠い,sleepy,Sleep - い,Genki 1::L10::01 Vocabulary_34,い-adjectives
かんたん（な）,簡単,easy; simple,Simplicity - Simple,Genki 1::L10::01 Vocabulary_35,な-adjectives
かかる,,to take (amount of time/money) (<i>no particle</i>),,Genki 1::L10::01 Vocabulary_36,U-verbs
とまる,泊まる,"to stay (at a hotel, etc.) (〜に)",Overnight - まる,Genki 1::L10::01 Vocabulary_37,U-verbs
なる,,to become,,Genki 1::L10::01 Vocabulary_38,U-verbs
きめる,決める,to decide (〜を),Decide - める,Genki 1::L10::01 Vocabulary_39,Ru-verbs
ごろごろする,,to chill out at home; to stay home and do nothing,,Genki 1::L10::01 Vocabulary_40,Irregular_Verbs
りょこうする,旅行する,to travel,Trip - Go - する,Genki 1::L10::01 Vocabulary_41,Irregular_Verbs
れんしゅうする,練習する,to practice (〜を),Practice - Learn - する,Genki 1::L10::01 Vocabulary_42,Irregular_Verbs
いちばん,一番,best,One - Number In A Series,Genki 1::L10::01 Vocabulary_43,Adverbs_and_Other_Expressions
どっち／どちら,,which,,Genki 1::L10::01 Vocabulary_44,Adverbs_and_Other_Expressions
はやく,早く／速く,(do something) early; fast,Early - く／ - Fast - く,Genki 1::L10::01 Vocabulary_45,Adverbs_and_Other_Expressions
あるいて,歩いて,on foot,Walk - いて,Genki 1::L10::01 Vocabulary_46,Adverbs_and_Other_Expressions
〜で,,by (means of transportation); with (a tool),,Genki 1::L10::01 Vocabulary_47,Adverbs_and_Other_Expressions
どうやって,,how; by what means,,Genki 1::L10::01 Vocabulary_48,Adverbs_and_Other_Expressions
どのぐらい,,how much; how long,,Genki 1::L10::01 Vocabulary_49,Adverbs_and_Other_Expressions
〜しゅうかん,〜週間,for ... weeks,〜 - Week - Interval,Genki 1::L10::01 Vocabulary_50,Adverbs_and_Other_Expressions
〜かげつ,〜か月,for ... months,〜か - Moon,Genki 1::L10::01 Vocabulary_51,Adverbs_and_Other_Expressions
〜ねん,〜年,... years,〜 - Year,Genki 1::L10::01 Vocabulary_52,Adverbs_and_Other_Expressions
このごろ,,these days,,Genki 1::L10::01 Vocabulary_53,Adverbs_and_Other_Expressions
〜ご,〜後,in ... time; after ...,〜 - Behind,Genki 1::L10::01 Vocabulary_54,Adverbs_and_Other_Expressions
〜か〜,,or,,Genki 1::L10::01 Vocabulary_55,Adverbs_and_Other_Expressions
ふつう,,local (train),,Genki 1::L10::02 Train Station_0,Useful_Expressions
きゅうこう,,express (train),,Genki 1::L10::02 Train Station_1,Useful_Expressions
とっきゅう,,super express (train),,Genki 1::L10::02 Train Station_2,Useful_Expressions
〜いき,,bound for ...,,Genki 1::L10::02 Train Station_3,Useful_Expressions
〜ほうめん,,serving ... areas,,Genki 1::L10::02 Train Station_4,Useful_Expressions
じょうしゃけん,,(boarding) ticket,,Genki 1::L10::02 Train Station_5,Useful_Expressions
ていきけん,,commuter's pass,,Genki 1::L10::02 Train Station_6,Useful_Expressions
がくわり,,student discount,,Genki 1::L10::02 Train Station_7,Useful_Expressions
していせき,,reserved seat,,Genki 1::L10::02 Train Station_8,Useful_Expressions
こうつうけいアイシーカード,,"rechargeable card such as Suica, Icoca, Pasmo, etc.",,Genki 1::L10::02 Train Station_9,Useful_Expressions
じゆうせき,,general admission seat,,Genki 1::L10::02 Train Station_10,Useful_Expressions
いちごうしゃ,,Car No. 1,,Genki 1::L10::02 Train Station_11,Useful_Expressions
おうふく,,round trip,,Genki 1::L10::02 Train Station_12,Useful_Expressions
かたみち,,one way,,Genki 1::L10::02 Train Station_13,Useful_Expressions
〜ばんせん,,track number ...,,Genki 1::L10::02 Train Station_14,Useful_Expressions
きっぷうりば,,ticket vending area,,Genki 1::L10::02 Train Station_15,Useful_Expressions
かいさつ,,gate,,Genki 1::L10::02 Train Station_16,Useful_Expressions
ホーム,,platform,,Genki 1::L10::02 Train Station_17,Useful_Expressions
ばいてん,,shop; stand,,Genki 1::L10::02 Train Station_18,Useful_Expressions
でぐち,,exit,,Genki 1::L10::02 Train Station_19,Useful_Expressions
いりぐち,,entrance,,Genki 1::L10::02 Train Station_20,Useful_Expressions
かいだん,,stairs,,Genki 1::L10::02 Train Station_21,Useful_Expressions
のりかえ,,transfer,,Genki 1::L10::02 Train Station_22,Useful_Expressions
つぎは〜,,"next (stop), ...",,Genki 1::L10::02 Train Station_23,Useful_Expressions
せんぱつ,,departing first,,Genki 1::L10::02 Train Station_24,Useful_Expressions
じはつ,,departing second,,Genki 1::L10::02 Train Station_25,Useful_Expressions
しゅうでん,,last train,,Genki 1::L10::02 Train Station_26,Useful_Expressions
まもなくはっしゃします。,,We will be leaving soon.,,Genki 1::L10::02 Train Station_27,Useful_Expressions
でんしゃがまいります。,,A train is arriving.,,Genki 1::L10::02 Train Station_28,Useful_Expressions
つぎは〜にとまります。,,Next (we'll stop at) ...,,Genki 1::L10::02 Train Station_29,Useful_Expressions
ドアがしまります。ごちゅういください。,,The doors are closing. Please be careful.,,Genki 1::L10::02 Train Station_30,Useful_Expressions
このでんしゃはあきはばらにとまりますか。,,Does this train stop at Akihabara?,,Genki 1::L10::02 Train Station_31,Useful_Expressions
しゅうでんはなんじですか。,,What time is the last train?,,Genki 1::L10::02 Train Station_32,Useful_Expressions
とうきょうまでのしていせきをいちまいおねがいします。,,"One reserved ticket to Tokyo, please.",,Genki 1::L10::02 Train Station_33,Useful_Expressions
がくわりがつかえますか。,,Can I get a student discount?,,Genki 1::L10::02 Train Station_34,Useful_Expressions
かまくらいきのでんしゃはどれですか。,,Which one is the train bound for Kamakura?,,Genki 1::L10::02 Train Station_35,Useful_Expressions
がいこく,外国,foreign country,Outside - Country,Genki 1::L11::01 Vocabulary_0,Nouns
オーストラリア,,Australia,,Genki 1::L11::01 Vocabulary_1,Nouns
かわ,川,river,River,Genki 1::L11::01 Vocabulary_2,Nouns
おんせん,温泉,spa; hot spring,Warm - Spring,Genki 1::L11::01 Vocabulary_3,Nouns
つり,,fishing,,Genki 1::L11::01 Vocabulary_4,Nouns
みずうみ,湖,lake,Lake,Genki 1::L11::01 Vocabulary_5,Nouns
やま,山,mountain,Mountain,Genki 1::L11::01 Vocabulary_6,Nouns
キャンプ,,camp,,Genki 1::L11::01 Vocabulary_7,Nouns
ドライブ,,drive,,Genki 1::L11::01 Vocabulary_8,Nouns
じんじゃ,神社,shrine,God - Company,Genki 1::L11::01 Vocabulary_9,Nouns
びじゅつかん,美術館,art museum,Beauty - Art - Public Building,Genki 1::L11::01 Vocabulary_10,Nouns
しゃちょう,社長,president of a company,Company - Long,Genki 1::L11::01 Vocabulary_11,Nouns
かしゅ,歌手,singer,Song - Hand,Genki 1::L11::01 Vocabulary_12,Nouns
ルームメイト,,roommate,,Genki 1::L11::01 Vocabulary_13,Nouns
ホストファミリー,,host family,,Genki 1::L11::01 Vocabulary_14,Nouns
しょうらい,将来,future,Commander - Come,Genki 1::L11::01 Vocabulary_15,Nouns
ゆめ,夢,dream,Dream,Genki 1::L11::01 Vocabulary_16,Nouns
おまつり,お祭り,festival,お - Festival - り,Genki 1::L11::01 Vocabulary_17,Nouns
おしょうがつ,お正月,New Year's,お - Correct - Moon,Genki 1::L11::01 Vocabulary_18,Nouns
おかし,お菓子,snack; sweets,お - Cake - Child,Genki 1::L11::01 Vocabulary_19,Nouns
ビール,,beer,,Genki 1::L11::01 Vocabulary_20,Nouns
おもちゃ,,toy,,Genki 1::L11::01 Vocabulary_21,Nouns
こんがっき,今学期,this semester,Now - Study - Period Of Time,Genki 1::L11::01 Vocabulary_22,Nouns
らいがっき,来学期,next semester,Come - Study - Period Of Time,Genki 1::L11::01 Vocabulary_23,Nouns
じゅぎょう,授業,class,Instruct - Business,Genki 1::L11::01 Vocabulary_24,Nouns
こちら,,this person (polite),,Genki 1::L11::01 Vocabulary_25,Nouns
うそをつく,,to tell a lie,,Genki 1::L11::01 Vocabulary_26,U-verbs
おなかがすく,,to become hungry,,Genki 1::L11::01 Vocabulary_27,U-verbs
かう,飼う,to own (a pet) (〜を),Domesticate - う,Genki 1::L11::01 Vocabulary_28,U-verbs
サボる,,to cut (classes) (〜を),,Genki 1::L11::01 Vocabulary_29,U-verbs
とる,取る,to take (a class); to get (a grade) (〜を),Take - る,Genki 1::L11::01 Vocabulary_30,U-verbs
ならう,習う,to learn (〜を),Learn - う,Genki 1::L11::01 Vocabulary_31,U-verbs
のぼる,登る,to climb (<i>place</i>&nbsp;に),Climb - る,Genki 1::L11::01 Vocabulary_32,U-verbs
はしる,走る,to run,Run - る,Genki 1::L11::01 Vocabulary_33,U-verbs
つかれる,疲れる,to get tired,Exhausted - れる,Genki 1::L11::01 Vocabulary_34,Ru-verbs
やめる,,to quit (〜を),,Genki 1::L11::01 Vocabulary_35,Ru-verbs
けんかする,,to have a fight; to quarrel,,Genki 1::L11::01 Vocabulary_36,Irregular_Verbs
しょうかいする,紹介する,to introduce (<i>person </i>に <i>person </i>を),Introduce - Jammed In - する,Genki 1::L11::01 Vocabulary_37,Irregular_Verbs
ダイエットする,,to go on a diet,,Genki 1::L11::01 Vocabulary_38,Irregular_Verbs
ちこくする,遅刻する,to be late (for an appointment) (〜に),Slow - Carve - する,Genki 1::L11::01 Vocabulary_39,Irregular_Verbs
りゅうがくする,留学する,to study abroad (<i>place</i>&nbsp;に),Detain - Study - する,Genki 1::L11::01 Vocabulary_40,Irregular_Verbs
しゅっしん,出身,coming from (<i>place</i>&nbsp;の),Exit - Somebody,Genki 1::L11::01 Vocabulary_41,Adverbs_and_Other_Expressions
ひさしぶり,久しぶり,it has been a long time,Long Time - しぶり,Genki 1::L11::01 Vocabulary_42,Adverbs_and_Other_Expressions
まあまあ,,okay; so-so,,Genki 1::L11::01 Vocabulary_43,Adverbs_and_Other_Expressions
もっと,,more,,Genki 1::L11::01 Vocabulary_44,Adverbs_and_Other_Expressions
あと,後,after (an event) (<i>event</i>&nbsp;の),Behind,Genki 1::L11::01 Vocabulary_45,Adverbs_and_Other_Expressions
そして,,and then,,Genki 1::L11::01 Vocabulary_46,Adverbs_and_Other_Expressions
〜だけ,,just ...; only ...,,Genki 1::L11::01 Vocabulary_47,Adverbs_and_Other_Expressions
〜てん,〜点,... points,〜 - Point,Genki 1::L11::01 Vocabulary_48,Adverbs_and_Other_Expressions
しょくぎょう,職業,Occupations,Employment - Business,Genki 1::L11::02 Additional Vocabulary_0,Occupations
さっか,作家,writer,Make - House,Genki 1::L11::02 Additional Vocabulary_1,Occupations
ジャーナリスト,,journalist,,Genki 1::L11::02 Additional Vocabulary_2,Occupations
けいさつかん,警察官,police officer,Warn - Guess - Government,Genki 1::L11::02 Additional Vocabulary_3,Occupations
しょうぼうし,消防士,firefighter,Extinguish - Prevent - Samurai,Genki 1::L11::02 Additional Vocabulary_4,Occupations
きょうし,教師,schoolteacher,Teach - Teacher,Genki 1::L11::02 Additional Vocabulary_5,Occupations
けんきゅうしゃ,研究者,researcher,Sharpen - Research - Someone,Genki 1::L11::02 Additional Vocabulary_6,Occupations
うちゅうひこうし,宇宙飛行士,astronaut,Outer Space - Midair - Fly - Go - Samurai,Genki 1::L11::02 Additional Vocabulary_7,Occupations
スポーツせんしゅ,スポーツ選手,athlete,スポーツ - Choose - Hand,Genki 1::L11::02 Additional Vocabulary_8,Occupations
だいとうりょう,大統領,president of a country,Big - Unite - Territory,Genki 1::L11::02 Additional Vocabulary_9,Occupations
はいゆう,俳優,actor; actress,Haiku - Superior,Genki 1::L11::02 Additional Vocabulary_10,Occupations
かんごし,看護師,nurse,Watch Over - Defend - Teacher,Genki 1::L11::02 Additional Vocabulary_11,Occupations
シェフ,,chef,,Genki 1::L11::02 Additional Vocabulary_12,Occupations
まんがか,漫画家,cartoonist,Manga - Drawing - House,Genki 1::L11::02 Additional Vocabulary_13,Occupations
どちらでもいいです。,,Both are fine.,,Genki 1::L11::03 Japanese Class_0,Useful_Expressions
おなじです。,,Same thing.,,Genki 1::L11::03 Japanese Class_1,Useful_Expressions
だいたいおなじです。,,More or less the same.,,Genki 1::L11::03 Japanese Class_2,Useful_Expressions
ちょっとちがいます。,,A little different.,,Genki 1::L11::03 Japanese Class_3,Useful_Expressions
つかえません。,,Can't use it.,,Genki 1::L11::03 Japanese Class_4,Useful_Expressions
だめです。,,No good.,,Genki 1::L11::03 Japanese Class_5,Useful_Expressions
てをあげてください。,,Raise your hand.,,Genki 1::L11::03 Japanese Class_6,Useful_Expressions
よんできてください。,,Read it before coming to class.,,Genki 1::L11::03 Japanese Class_7,Useful_Expressions
しゅくだいをだしてください。,,Hand in the homework.,,Genki 1::L11::03 Japanese Class_8,Useful_Expressions
１０ページをひらいてください。,,Open the book to page 10.,,Genki 1::L11::03 Japanese Class_9,Useful_Expressions
きょうかしょをとじてください。,,Close the textbook.,,Genki 1::L11::03 Japanese Class_10,Useful_Expressions
となりのひとにきいてください。,,Ask the person sitting next to you.,,Genki 1::L11::03 Japanese Class_11,Useful_Expressions
やめてください。,,Please stop.,,Genki 1::L11::03 Japanese Class_12,Useful_Expressions
きょうはこれでおわります。,,That's it for today.,,Genki 1::L11::03 Japanese Class_13,Useful_Expressions
しめきり,,deadline,,Genki 1::L11::03 Japanese Class_14,Useful_Expressions
れんしゅう,,exercise,,Genki 1::L11::03 Japanese Class_15,Useful_Expressions
いみ,,meaning,,Genki 1::L11::03 Japanese Class_16,Useful_Expressions
はつおん,,pronunciation,,Genki 1::L11::03 Japanese Class_17,Useful_Expressions
ぶんぽう,,grammar,,Genki 1::L11::03 Japanese Class_18,Useful_Expressions
しつもん,,question,,Genki 1::L11::03 Japanese Class_19,Useful_Expressions
こたえ,,answer,,Genki 1::L11::03 Japanese Class_20,Useful_Expressions
れい,,example,,Genki 1::L11::03 Japanese Class_21,Useful_Expressions
かっこ,,( ) (parentheses),,Genki 1::L11::03 Japanese Class_22,Useful_Expressions
まる,,○ (correct),,Genki 1::L11::03 Japanese Class_23,Useful_Expressions
ばつ,,☓ (wrong),,Genki 1::L11::03 Japanese Class_24,Useful_Expressions
くだけたいいかた,,colloquial expression,,Genki 1::L11::03 Japanese Class_25,Useful_Expressions
かたいいいかた,,bookish expression,,Genki 1::L11::03 Japanese Class_26,Useful_Expressions
ていねいないいかた,,polite expression,,Genki 1::L11::03 Japanese Class_27,Useful_Expressions
ほうげん,,dialect,,Genki 1::L11::03 Japanese Class_28,Useful_Expressions
きょうつうご,,common language,,Genki 1::L11::03 Japanese Class_29,Useful_Expressions
たとえば,,for example,,Genki 1::L11::03 Japanese Class_30,Useful_Expressions
ほかに,,anything else,,Genki 1::L11::03 Japanese Class_31,Useful_Expressions
〜ばん,,number ...,,Genki 1::L11::03 Japanese Class_32,Useful_Expressions
〜ぎょうめ,,line number ...,,Genki 1::L11::03 Japanese Class_33,Useful_Expressions
ふたりずつ,,two people each,,Genki 1::L11::03 Japanese Class_34,Useful_Expressions
おなか,,stomach,,Genki 1::L12::01 Vocabulary_0,Nouns
あし,足,leg; foot,Foot,Genki 1::L12::01 Vocabulary_1,Nouns
のど,,throat,,Genki 1::L12::01 Vocabulary_2,Nouns
は,歯,tooth,Tooth,Genki 1::L12::01 Vocabulary_3,Nouns
インフルエンザ,,influenza,,Genki 1::L12::01 Vocabulary_4,Nouns
かぜ,風邪,cold,Wind - Wicked,Genki 1::L12::01 Vocabulary_5,Nouns
せき,,cough,,Genki 1::L12::01 Vocabulary_6,Nouns
ふつかよい,二日酔い,hangover,Two - Sun - Drunk - い,Genki 1::L12::01 Vocabulary_7,Nouns
ホームシック,,homesickness,,Genki 1::L12::01 Vocabulary_8,Nouns
アレルギー,,allergy,,Genki 1::L12::01 Vocabulary_9,Nouns
ジュース,,juice,,Genki 1::L12::01 Vocabulary_10,Nouns
たまご,卵,egg,Egg,Genki 1::L12::01 Vocabulary_11,Nouns
ふく,服,clothes,Clothes,Genki 1::L12::01 Vocabulary_12,Nouns
もの,物,thing (concrete object),Thing,Genki 1::L12::01 Vocabulary_13,Nouns
プレゼント,,present,,Genki 1::L12::01 Vocabulary_14,Nouns
きっぷ,切符,train ticket,Cut - Token,Genki 1::L12::01 Vocabulary_15,Nouns
〜だい,〜代,charge; fee,〜 - Substitute,Genki 1::L12::01 Vocabulary_16,Nouns
ようじ,用事,business to take care of,Task - Action,Genki 1::L12::01 Vocabulary_17,Nouns
おてあらい,お手洗い,restroom,お - Hand - Wash - い,Genki 1::L12::01 Vocabulary_18,Nouns
しあい,試合,match; game,Try - Suit,Genki 1::L12::01 Vocabulary_19,Nouns
せいじ,政治,politics,Politics - Cure,Genki 1::L12::01 Vocabulary_20,Nouns
せいせき,成績,"grade (on a test, etc.)",Become - Exploits,Genki 1::L12::01 Vocabulary_21,Nouns
かのじょ,彼女,she; girlfriend,He - Woman,Genki 1::L12::01 Vocabulary_22,Nouns
かれ,彼,he; boyfriend,He,Genki 1::L12::01 Vocabulary_23,Nouns
かれし,彼氏,boyfriend,He - Family Name,Genki 1::L12::01 Vocabulary_24,Nouns
いみ,意味,meaning,Idea - Flavor,Genki 1::L12::01 Vocabulary_25,Nouns
せまい,狭い,narrow; not spacious,Narrow - い,Genki 1::L12::01 Vocabulary_26,い-adjectives
ひろい,広い,wide; spacious,Wide - い,Genki 1::L12::01 Vocabulary_27,い-adjectives
わるい,悪い,bad,Bad - い,Genki 1::L12::01 Vocabulary_28,い-adjectives
いたい,痛い,hurt; painful,Pain - い,Genki 1::L12::01 Vocabulary_29,い-adjectives
あまい,甘い,sweet,Sweet - い,Genki 1::L12::01 Vocabulary_30,い-adjectives
おおい,多い,there are many ...,Many - い,Genki 1::L12::01 Vocabulary_31,い-adjectives
すてき（な）,素敵,nice,Element - Enemy,Genki 1::L12::01 Vocabulary_32,な-adjectives
あるく,歩く,to walk,Walk - く,Genki 1::L12::01 Vocabulary_33,U-verbs
かぜをひく,風邪をひく,to catch a cold,Wind - Wicked - をひく,Genki 1::L12::01 Vocabulary_34,U-verbs
ねつがある,熱がある,to have a fever,Heat - がある,Genki 1::L12::01 Vocabulary_35,U-verbs
のどがかわく,喉が渇く,to become thirsty,喉が - Thirst - く,Genki 1::L12::01 Vocabulary_36,U-verbs
はらう,払う,to pay (〜を),Pay - う,Genki 1::L12::01 Vocabulary_37,U-verbs
なくす,,to lose (〜を),,Genki 1::L12::01 Vocabulary_38,U-verbs
きょうみがある,興味がある,to be interested (in ...) (<i>topic </i>に),Interest - Flavor - がある,Genki 1::L12::01 Vocabulary_39,U-verbs
せきがでる,せきが出る,to cough,せきが - Exit - る,Genki 1::L12::01 Vocabulary_40,Ru-verbs
わかれる,別れる,to break up; to separate (<i>person</i>&nbsp;と),Separate - れる,Genki 1::L12::01 Vocabulary_41,Ru-verbs
きんちょうする,緊張する,to get nervous,Tense - Stretch - する,Genki 1::L12::01 Vocabulary_42,Irregular_Verbs
しんぱいする,心配する,to worry,Heart - Distribute - する,Genki 1::L12::01 Vocabulary_43,Irregular_Verbs
おだいじに,お大事に,Get well soon.,お - Big - Action - に,Genki 1::L12::01 Vocabulary_44,Adverbs_and_Other_Expressions
げんきがない,元気がない,don't look well,Origin - Energy - がない,Genki 1::L12::01 Vocabulary_45,Adverbs_and_Other_Expressions
できるだけ,,as much as possible,,Genki 1::L12::01 Vocabulary_46,Adverbs_and_Other_Expressions
たぶん,多分,probably; maybe,Many - Part,Genki 1::L12::01 Vocabulary_47,Adverbs_and_Other_Expressions
もうすぐ,,very soon; in a few moments/days,,Genki 1::L12::01 Vocabulary_48,Adverbs_and_Other_Expressions
はじめて,初めて,for the first time,First - めて,Genki 1::L12::01 Vocabulary_49,Adverbs_and_Other_Expressions
にさんにち,二三日,for two to three days,Two - Three - Sun,Genki 1::L12::01 Vocabulary_50,Adverbs_and_Other_Expressions
それに,,"moreover, ...",,Genki 1::L12::01 Vocabulary_51,Adverbs_and_Other_Expressions
おなじ,同じ,same,Same - じ,Genki 1::L12::01 Vocabulary_52,Adverbs_and_Other_Expressions
げりです。,,I have diarrhea.,,Genki 1::L12::02 Health And Illness_0,Useful_Expressions
べんぴです。,,I am constipated.,,Genki 1::L12::02 Health And Illness_1,Useful_Expressions
せいりです。,,I have my period.,,Genki 1::L12::02 Health And Illness_2,Useful_Expressions
かふんしょうです。,,I have hay fever.,,Genki 1::L12::02 Health And Illness_3,Useful_Expressions
（〜に）アレルギーがあります。,,I have an allergy to ...,,Genki 1::L12::02 Health And Illness_4,Useful_Expressions
むしばがあります。,,I have a bad tooth.,,Genki 1::L12::02 Health And Illness_5,Useful_Expressions
くしゃみがでます。,,I sneeze.,,Genki 1::L12::02 Health And Illness_6,Useful_Expressions
はなみずがでます。,,I have a runny nose.,,Genki 1::L12::02 Health And Illness_7,Useful_Expressions
せなかがかゆいです。,,My back itches.,,Genki 1::L12::02 Health And Illness_8,Useful_Expressions
はっしんがあります。,,I have rashes.,,Genki 1::L12::02 Health And Illness_9,Useful_Expressions
めまいがします。,,I feel dizzy.,,Genki 1::L12::02 Health And Illness_10,Useful_Expressions
はきました。,,I threw up.,,Genki 1::L12::02 Health And Illness_11,Useful_Expressions
きぶんがわるいです。,,I am not feeling well.,,Genki 1::L12::02 Health And Illness_12,Useful_Expressions
やけどをしました。,,I burned myself.,,Genki 1::L12::02 Health And Illness_13,Useful_Expressions
あしをこっせつしました。,,I broke my leg.,,Genki 1::L12::02 Health And Illness_14,Useful_Expressions
けがをしました。,,I hurt myself.,,Genki 1::L12::02 Health And Illness_15,Useful_Expressions
ないか,,physician,,Genki 1::L12::02 Health And Illness_16,Useful_Expressions
ひふか,,dermatologist,,Genki 1::L12::02 Health And Illness_17,Useful_Expressions
げか,,surgeon,,Genki 1::L12::02 Health And Illness_18,Useful_Expressions
さんふじんか,,obsterician and gynecologist,,Genki 1::L12::02 Health And Illness_19,Useful_Expressions
せいけいげか,,orthopedic surgeon,,Genki 1::L12::02 Health And Illness_20,Useful_Expressions
がんか（めいしゃ）,,ophthalmologist,,Genki 1::L12::02 Health And Illness_21,Useful_Expressions
しか（はいしゃ）,,dentist,,Genki 1::L12::02 Health And Illness_22,Useful_Expressions
じびか,,otorhinolaryngologist; ENT doctor,,Genki 1::L12::02 Health And Illness_23,Useful_Expressions
こうせいぶっしつ,,antibiotic,,Genki 1::L12::02 Health And Illness_24,Useful_Expressions
レントゲン,,X-ray,,Genki 1::L12::02 Health And Illness_25,Useful_Expressions
しゅじゅつ,,operation,,Genki 1::L12::02 Health And Illness_26,Useful_Expressions
ちゅうしゃ,,injection,,Genki 1::L12::02 Health And Illness_27,Useful_Expressions
たいおんけい,,thermometer,,Genki 1::L12::02 Health And Illness_28,Useful_Expressions
てんてき,,intravenous feeding,,Genki 1::L12::02 Health And Illness_29,Useful_Expressions